Unnamed: 0,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Price_USD,Country
1,Center console boat,Terhi power boats,new boat from stock,2020,4.0,1.5,Thermoplastic,4118.2,Germany
4,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,4010.8199999999997,Germany
10,Fishing Boat,Terhi power boats,"used boat,electric",1987,4.35,1.75,GRP,3780.0000000000005,Switzerland
12,Sport Boat,GS Nautica power boats,used boat,2004,4.7,2.0,GRP,4130.0,Italy
13,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,4968.0,Switzerland
14,Fishing Boat,Italmarine power boats,"used boat,unleaded",1997,3.72,1.33,Aluminium,4860.0,Switzerland
18,Pilothouse,BÃ©nÃ©teau power boats,"used boat,diesel",1981,8.0,2.84,PVC,4720.0,France
20,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,4718.82,Germany
22,Sport Boat,Linder power boats,"new boat from stock,unleaded",2020,4.31,1.64,Aluminium,4637.4,Germany
23,Sport Boat,Kammin power boats,"used boat,unleaded",1979,5.6,2.1,GRP,4602.0,Germany
25,Fishing Boat,Bucher power boats,"used boat,unleaded",1998,5.7,1.55,GRP,4536.0,Switzerland
27,Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,4352.400000000001,Switzerland
29,Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,4293.0,Switzerland
30,Sport Boat,MÃ¤ndli power boats,used boat,1996,4.84,1.58,GRP,4266.0,Switzerland
34,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"used boat,unleaded",1996,4.41,1.71,Aluminium,4104.0,Switzerland
35,Cabin Boat,Draco power boats,"used boat,unleaded",1980,6.2,2.45,GRP,4104.0,Switzerland
36,Fishing Boat,Hensa  power boats,"used boat,unleaded",1974,5.4,1.67,Plastic,4104.0,Switzerland
38,Center console boat,Ibis power boats,"used boat,unleaded",1983,4.4,1.5,GRP,4130.0,Germany
43,Sport Boat,Corsiva power boats,new boat from stock,2018,5.2,2.2,GRP,6490.0,Germany
44,Center console boat,Saver power boats,"used boat,unleaded",1997,4.4,1.78,PVC,6490.0,Spain
45,Sport Boat,Ilver power boats,used boat,1961,5.5,2.06,GRP,6490.0,Italy
46,Sport Boat,Skibsplast power boats,used boat,1980,5.85,2.23,GRP,6372.0,Switzerland
49,Fishing Boat,Linder power boats,new boat from stock,2018,4.01,1.64,Aluminium,6370.82,Germany
53,Fishing Boat,Viking power boats,new boat from stock,2020,4.2,1.85,Aluminium,6136.0,Germany
54,Sport Boat,Staempfli power boats,used boat,1968,4.05,1.58,GRP,5940.0,Switzerland
55,Runabout,Kimple power boats,new boat from stock,2020,4.0,1.65,Aluminium,5940.0,Switzerland
57,Sport Boat,Fiberline power boats,"used boat,unleaded",1987,3.95,1.55,Plastic,7776.000000000001,Switzerland
59,Runabout,Schweizer power boats,"used boat,unleaded",1972,5.5,1.9,GRP,7776.2,Germany
60,Cabin Boat,Cranchi power boats,"used boat,diesel",1990,6.28,2.27,GRP,7670.0,Italy
61,Deck Boat,Corsiva power boats,new boat from stock,2018,5.7,2.2,GRP,7670.0,Germany
62,Pontoon Boat,Brig power boats,"used boat,unleaded",2010,5.0,2.15,GRP,7670.0,Italy
63,Cabin Boat,Dawncraft power boats,"used boat,unleaded",1968,8.0,2.1,GRP,7670.0,Germany
64,Sport Boat,Invader power boats,"used boat,unleaded",1991,4.5,2.1,GRP,7670.0,Austria
66,Cabin Boat,Hille power boats,unleaded,1994,4.75,1.86,GRP,7658.2,Germany
67,Sport Boat,Bienchen  power boats,used boat,2018,3.2,1.5,GRP,7560.000000000001,Switzerland
68,Cabin Boat,Fjord power boats,"used boat,unleaded",1980,7.26,2.9,GRP,7560.000000000001,Switzerland
69,Bowrider,Ecofiber power boats,"used boat,unleaded",2000,4.15,1.65,GRP,7560.000000000001,Switzerland
71,"Sport Boat,Working Boat",Italmarine power boats,"used boat,unleaded",1986,4.28,1.65,Aluminium,8964.0,Switzerland
74,Deck Boat,Elan power boats,"used boat,unleaded",1985,4.5,2.1,GRP,9015.199999999999,Germany
75,Bowrider,Terhi power boats,"new boat from stock,unleaded",2020,4.45,1.85,Thermoplastic,8807.400000000001,Switzerland
76,Center console boat,Fletcher power boats,"used boat,unleaded",1996,4.5,1.7,GRP,8850.0,Germany
79,Sport Boat,Fjord power boats,"used boat,unleaded",1971,5.7,2.2,GRP,8850.0,Austria
80,Sport Boat,Ultramar power boats,"used boat,unleaded",1994,5.5,2.45,PVC,8850.0,France
81,Cabin Boat,Yachting France power boats,"used boat,unleaded",1981,6.4,2.54,GRP,8850.0,France
82,Center console boat,B2 Marine power boats,"used boat,unleaded",2005,5.23,2.15,PVC,8850.0,France
83,Sport Boat,Volvo power boats,"used boat,unleaded",1995,5.8,2.28,GRP,8850.0,Germany
86,Sport Boat,Sunseeker power boats,"used boat,unleaded",1976,5.85,2.3,GRP,10152.0,Switzerland
89,Sport Boat,Karel power boats,"new boat on order,unleaded",2020,4.8,1.9,GRP,10006.2,Switzerland
90,Sport Boat,Beekmann power boats,"used boat,unleaded",1990,5.18,2.18,GRP,9936.0,Switzerland
94,Center console boat,Allegra power boats,used boat,2018,5.3,2.2,GRP,10030.0,Italy
95,Sport Boat,Sunbird power boats,"used boat,unleaded",1994,5.74,2.31,PVC,10030.0,France
96,Pilothouse,Jeanneau power boats,"used boat,unleaded",2006,5.8,2.5,PVC,10030.0,France
97,Sport Boat,Hellwig power boats,"used boat,unleaded",2016,3.1,1.4,GRP,10030.0,Germany
101,Trawler,Gouwerok power boats,used boat,1980,8.5,3.0,Steel,11505.0,Netherlands
102,Fishing Boat,Marino CN power boats,"used boat,unleaded",2011,4.5,1.95,GRP,11340.0,Switzerland
106,Sport Boat,Draco power boats,"used boat,unleaded",1984,6.0,2.3,GRP,11232.0,Switzerland
107,Cabin Boat,Crescent power boats,unleaded,1992,5.65,2.2,GRP,11326.82,Germany
108,Sport Boat,Sting power boats,new boat from stock,2016,4.88,2.03,GRP,11298.5,Germany
110,Motor Yacht,Moonday power boats,new boat from stock,2019,4.8,2.0,GRP,11272.539999999999,Netherlands
111,Cabin Boat,Gouwerok power boats,used boat,1964,8.4,2.85,Steel,11210.0,Netherlands
112,Sport Boat,Trimarchi  power boats,"new boat from stock,gas",2019,5.7,2.1,GRP,11210.0,Italy
113,Motor Yacht,Cox Marine power boats,"used boat,diesel",1985,6.8,2.5,GRP,11210.0,Germany
116,Sport Boat,Supra power boats,"used boat,unleaded",1991,6.18,2.42,GRP,11880.0,Switzerland
117,Pontoon Boat,MÃ¤ndli power boats,used boat,2006,7.0,1.9,Wood,11880.0,Switzerland
118,Fishing Boat,MÃ¤ndli power boats,"used boat,unleaded",2006,6.0,1.6,GRP,11880.0,Switzerland
120,Sport Boat,Italmar power boats,new boat from stock,2020,4.99,2.1,GRP,11935.699999999999,Germany
121,Runabout,Safter Marine power boats,new boat on order,2020,4.5,1.65,GRP,11772.0,Switzerland
123,Sport Boat,Bayliner power boats,"used boat,unleaded",1993,8.5,2.6,GRP,11800.0,Italy
124,Sport Boat,Cigala & Bertinetti power boats,"used boat,unleaded",1979,7.25,2.37,GRP,11800.0,Italy
127,Working Boat,Costruzioni Navali Srl power boats,"used boat,diesel",1975,12.0,3.0,Steel,11800.0,Italy
128,"Cabin Boat,Trawler",Werner  power boats,"used boat,diesel",1940,12.5,2.5,Steel,11800.0,Germany
129,Sport Boat,A. Mostes power boats,"used boat,unleaded",1991,7.15,2.36,GRP,11800.0,Italy
130,Sport Boat,Bayliner power boats,used boat,1995,7.02,2.52,PVC,11800.0,France
131,Cabin Boat,Bayliner power boats,"used boat,unleaded",1995,7.02,2.52,PVC,11800.0,France
132,Sport Boat,Bayliner power boats,used boat,1988,6.3,2.34,GRP,12980.0,Italy
133,Motor Yacht,Chrysler power boats,"used boat,unleaded",1974,4.9,2.1,GRP,12980.0,Germany
134,Cabin Boat,Stingray power boats,used boat,1997,6.5,2.4,GRP,12980.0,Italy
135,Sport Boat,Bayliner power boats,"used boat,unleaded",1996,7.03,2.54,PVC,12980.0,France
136,"Bowrider,Classic",Sunbird power boats,"used boat,unleaded",1971,5.79,2.2,Wood,12980.0,France
138,Cabin Boat,Glastron power boats,"used boat,unleaded",1998,6.13,2.39,GRP,12980.0,Italy
139,Sport Boat,Sea Ray power boats,"used boat,unleaded",1992,7.8,2.59,GRP,12980.0,Italy
140,"Motor Yacht,Sport Boat",Rio power boats,"used boat,unleaded",2000,6.0,2.4,GRP,12980.0,Spain
141,Cabin Boat,Birchwood power boats,"used boat,unleaded",1986,7.4,2.5,GRP,12980.0,Germany
142,Sport Boat,Bayliner power boats,used boat,1987,7.62,2.97,GRP,12980.0,Netherlands
143,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.07,2.12,GRP,12978.82,Germany
144,Sport Boat,BlueCraft power boats,"new boat from stock,unleaded",2020,5.1,2.1,GRP,12978.82,Germany
145,Sport Boat,Remus power boats,new boat from stock,2020,5.2,2.22,GRP,12978.82,Germany
146,Cabin Boat,Quicksilver power boats,"used boat,unleaded",2003,4.7,2.3,GRP,12968.199999999999,Germany
147,Cabin Boat,Polar power boats,diesel,1977,6.7,2.3,GRP,12968.199999999999,Germany
148,Sport Boat,BÃ©nÃ©teau power boats,"used boat,unleaded",1993,7.75,2.75,PVC,14160.0,France
149,"Classic,Runabout,Sport Boat",Cranchi power boats,"used boat,unleaded",1990,6.43,2.25,GRP,14160.0,Serbia
151,Cabin Boat,Wiking power boats,"used boat,diesel",1979,6.5,2.2,GRP,14160.0,Germany
152,Sport Boat,Gobbi power boats,"used boat,unleaded",1988,6.16,2.49,Plastic,14160.0,Italy
153,"Cabin Boat,Motor Yacht",Fjord power boats,"used boat,diesel",1978,7.2,2.95,GRP,14160.0,Germany
156,Sport Boat,Quicksilver power boats,"used boat,unleaded",2005,5.0,4.96,PVC,14148.199999999999,France
157,Sport Boat,Atlantic Marine power boats,new boat from stock,2019,5.3,2.39,GRP,13986.000000000002,Switzerland
160,Runabout,Safter Marine power boats,new boat from stock,2020,5.0,1.9,GRP,13932.000000000002,Switzerland
161,Working Boat,Tinn-Silver power boats,"display model,unleaded",2019,4.5,1.75,Aluminium,13932.000000000002,Switzerland
165,Bowrider,Maxima power boats,new boat from stock,2020,4.9,1.9,GRP,15068.599999999999,Germany
170,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,unleaded",2019,5.0,2.0,GRP,14750.0,Italy
172,Trawler,Schlosswerft power boats,"used boat,diesel",1913,14.7,3.65,Steel,14750.0,Germany
173,Sport Boat,Sea Ray power boats,"used boat,unleaded",1994,5.6,2.2,GRP,14750.0,Italy
174,Cabin Boat,Compromis power boats,used boat,1983,7.2,2.85,GRP,14750.0,Netherlands
178,"Cabin Boat,Sport Boat",Windy power boats,"used boat,unleaded",1984,7.05,2.5,GRP,15984.000000000002,Switzerland
179,Deck Boat,Jeanneau power boats,new boat from stock,2014,5.0,2.0,PVC,16154.199999999999,Slovak Republic
180,Bowrider,Yamarin power boats,new boat from stock,2018,4.57,1.93,GRP,15876.000000000002,Switzerland
183,Sport Boat,Acquaviva (IT) power boats,"used boat,unleaded",1998,5.95,2.48,GRP,15930.0,Italy
185,Pilothouse,Arvor power boats,"used boat,diesel",1999,6.16,2.48,PVC,15930.0,France
186,Motor Yacht,Bayliner power boats,used boat,1995,7.75,2.57,GRP,15930.0,Netherlands
187,Sport Boat,Lema power boats,"used boat,diesel",1996,7.0,2.0,PVC,15930.0,Spain
188,Center console boat,Ranieri power boats,"used boat,unleaded",2002,5.45,2.15,GRP,15930.0,Italy
189,Sport Boat,Windy power boats,"used boat,unleaded",1990,8.8,2.79,GRP,15930.0,Croatia (Hrvatska)
190,Deck Boat,Jeanneau power boats,"used boat,unleaded",2014,4.5,2.0,PVC,15930.0,France
191,Sport Boat,BÃ©nÃ©teau power boats,"used boat,diesel",2006,6.5,2.44,Steel,15930.0,France
193,Bowrider,Bayliner power boats,"used boat,unleaded",1998,3.0,2.0,PVC,17110.0,Portugal
195,Fishing Boat,Smartliner power boats,new boat on order,2020,5.76,2.25,GRP,16848.0,Switzerland
197,Runabout,Karnic power boats,new boat from stock,2018,4.9,2.08,GRP,16951.879999999997,Germany
198,Center console boat,Seagull power boats,"used boat,unleaded",2006,5.25,2.16,GRP,16740.0,Switzerland
201,Sport Boat,Romar power boats,new boat from stock,2019,5.68,1.99,GRP,16756.0,Switzerland
202,Sport Boat,Gobbi power boats,used boat,1997,9.15,3.0,GRP,16520.0,Italy
204,Sport Boat,Gobbi power boats,"used boat,unleaded",1990,6.42,2.38,GRP,16520.0,Italy
206,Cabin Boat,SAS-Vektor power boats,"used boat,unleaded",2008,4.99,2.07,GRP,16520.0,Croatia (Hrvatska)
209,Sport Boat,Marinello power boats,"new boat from stock,unleaded",2014,4.7,1.85,GRP,17582.0,Germany
210,Motor Yacht,Sea Ray power boats,"used boat,unleaded",1983,10.0,3.0,GRP,17582.0,Croatia (Hrvatska)
211,Pontoon Boat,Ranieri International power boats,"new boat from stock,unleaded",2020,5.55,2.18,GRP,17582.0,Italy
212,Fishing Boat,Vizion power boats,new boat from stock,2019,4.7,1.95,Aluminium,17582.0,Germany
214,Flybridge,Draco power boats,"used boat,diesel",1980,9.1,3.14,GRP,17582.0,Italy
215,Cabin Boat,Hilter power boats,"used boat,unleaded",1984,7.9,2.5,GRP,17582.0,Germany
216,Deck Boat,Jeanneau power boats,"used boat,unleaded",2017,5.15,2.15,PVC,17582.0,France
219,Pontoon Boat,Ranieri International power boats,"new boat from stock,unleaded",2020,5.55,2.18,GRP,17582.0,Switzerland
221,Cabin Boat,Jeanneau power boats,"used boat,unleaded",2002,5.0,2.1,GRP,17582.0,Germany
222,Cabin Boat,Seaswirl power boats,"used boat,unleaded",1995,6.5,2.5,GRP,18290.0,Germany
225,Sport Boat,Fjord Plast power boats,"used boat,unleaded",1979,6.5,2.5,GRP,18290.0,Austria
