Manufacturer,TotalSales,UnitsSold
Seagull power boats,16740.0,1.0
SBM power boats,106200.0,1.0
Hatteras power boats,3969520.0,11.0
Arvor power boats,255234.0,5.0
Wellcraft power boats,991402.2,9.0
Saphire power boats,35400.0,1.0
Premier power boats,247800.0,1.0
De Antonio Yachts power boats,2170426.0,6.0
Vitech power boats,702100.0,1.0
Gruno power boats,1569612.4,12.0
Teltow Werft power boats,164610.0,1.0
Nautilus power boats,258420.0,1.0
Baha power boats,7020.0,1.0
Hanto power boats,20638.2,1.0
Jacabo power boats,588702.0,3.0
Pedrazzini power boats,1952960.0,9.0
Steiner power boats,7344.0,1.0
Yamarin power boats,1056728.8,25.0
Allround power boats,15222.0,1.0
Waddenkruiser power boats,22414.1,1.0
VTS Boats power boats,43542.0,1.0
Funcraft power boats,356360.0,3.0
Primeur power boats,50681.0,1.0
Pikmeerkruiser power boats,1192980.0,5.0
Marex power boats,1.5551405E7,24.0
Austin Parker power boats,932200.0,1.0
Hemiksem power boats,312700.0,1.0
Adventure power boats,46610.0,1.0
Posillipo power boats,4823250.0,9.0
Acroplast power boats,35400.0,1.0
Stickl power boats,339144.97,4.0
Altair power boats,198240.0,2.0
Drago Boats power boats,139536.0,5.0
Nimbus power boats,1.046837E7,43.0
Ocqueteau power boats,779012.0,16.0
Erman Yachting power boats,372600.0,1.0
Concordia power boats,259010.0,1.0
De Wiel power boats,29500.0,1.0
Sealine power boats,2.8508352E7,104.0
Haines Marine power boats,244850.0,2.0
Baltic power boats,158710.0,1.0
van de Werf power boats,105020.0,1.0
Milan  power boats,18900.0,1.0
Baia power boats,2059590.0,8.0
Albin power boats,48970.0,2.0
Vizion power boats,73986.0,5.0
Webbcraft power boats,9180.0,1.0
Viking power boats,609411.0,11.0
Barkas power boats,216530.0,3.0
Terra Nauta power boats,460200.0,2.0
Vertens power boats,159300.0,1.0
Greenline power boats,6.3104088E7,18.0
Cantieri Nautici Dalla Pieta power boats,336300.0,1.0
Paragon power boats,115640.0,1.0
White Shark power boats,64900.0,1.0
Blohm + Voss power boats,35400.0,1.0
Skibsplast power boats,96287.4,4.0
Gallart power boats,153400.0,2.0
Orskov Skibsvaerft power boats,230100.0,1.0
Regal power boats,5969970.5,61.0
Tresfjord power boats,350000.0,1.0
Bucher power boats,4536.0,1.0
Hock power boats,189331.0,3.0
Invictus power boats,5169809.0,35.0
Robalo power boats,201780.0,2.0
Absolute power boats,1.1394322E7,19.0
Cytra power boats,156692.2,4.0
Veha power boats,333624.0,3.0
Allegra power boats,82954.0,3.0
Baja power boats,568436.0,5.0
Flevo power boats,175820.0,1.0
Ala Blu power boats,76700.0,1.0
Cramar power boats,94572.0,3.0
Pedro power boats,1763864.0,23.0
Grady White Boats power boats,304440.0,3.0
Need Yacht power boats,199800.0,1.0
Solare power boats,253700.0,1.0
Scand power boats,427784.2,11.0
Rhea power boats,3093434.0,25.0
Myabca power boats,50740.0,1.0
Hooveld power boats,111982.0,2.0
Monte Carlo power boats,3481000.0,1.0
Skagen power boats,495600.0,1.0
Gillissen power boats,358602.0,4.0
Nadirmarine power boats,37760.0,1.0
Cantieri di Sarnico power boats,1480782.0,6.0
Ranieri International power boats,850877.0,19.0
Heinrich power boats,155520.0,1.0
Ockelbo power boats,8640.0,1.0
Freedom power boats,19942.0,1.0
Marino CN power boats,11340.0,1.0
Thompson power boats,34220.0,1.0
Delphia power boats,1118651.8,5.0
Suncoast power boats,159300.0,1.0
Hellingskip power boats,271610.0,2.0
Atlantic Motor Yachts power boats,601542.0,3.0
Tryvia power boats,517430.0,2.0
Arp-Werft  power boats,64900.0,1.0
Italmar power boats,231532.52,7.0
SAY power boats,1123371.0,4.0
Arcoa power boats,743400.0,2.0
Orca power boats,39648.0,1.0
Amberg power boats,106920.0,2.0
Joda power boats,18868.2,2.0
Kapiteinssloep power boats,40710.0,1.0
Trawler power boats,159300.0,1.0
Cantieri Estensi power boats,1354640.0,4.0
BlueCraft power boats,101108.3,7.0
Steilsteven power boats,58410.0,1.0
Dufour power boats,5900.0,1.0
Quicksilver power boats,1582423.5,30.0
Jongert power boats,767000.0,1.0
Meridian Yachts power boats,211220.0,1.0
Holland Boat power boats,160480.0,2.0
Treffer power boats,828242.0,4.0
Formula power boats,1744732.0,21.0
Viko Yachts power boats,21694.3,1.0
Amerglass power boats,46020.0,1.0
Lengers power boats,2212500.0,1.0
ISA Yachts power boats,4543000.0,1.0
Integrity power boats,9406711.0,11.0
Acquaviva (IT) power boats,15930.0,1.0
ZAR Formenti power boats,24544.0,1.0
Tony Giugliano power boats,282740.0,2.0
Cormate power boats,696639.0,4.0
B2 Marine power boats,234284.0,9.0
Kaiser Bootsmanufaktur power boats,385624.0,4.0
Smartliner power boats,189008.0,8.0
Rodriguez Group (Italyachts) power boats,6962000.0,1.0
Johnson Yachts power boats,129800.0,1.0
Stama power boats,240620.0,2.0
Calafuria power boats,59000.0,1.0
Navalia power boats,3637500.0,1.0
ReLine power boats,739270.0,4.0
Piculjan Marine power boats,518374.0,3.0
Abacus power boats,4847800.0,2.0
Marco Yachts power boats,50150.0,1.0
Lagoon power boats,1010080.0,3.0
Jans power boats,20650.0,1.0
Thunderbird power boats,59000.0,1.0
Couach power boats,4602000.0,1.0
Rancraft power boats,34810.0,1.0
Lunde power boats,42066.0,1.0
Olympic power boats,177522.98,8.0
Chaparral power boats,2051783.9,33.0
Westwind power boats,69030.0,1.0
Poldijk Jachtbouw B.V. power boats,116820.0,1.0
Galaxy power boats,31212.0,1.0
Diano power boats,389400.0,2.0
Garin power boats,182900.0,2.0
Lex Boats power boats,141600.0,1.0
Kimple power boats,10908.0,2.0
Nordkapp power boats,510451.16,10.0
Amel power boats,123900.0,1.0
Haber power boats,125750.0,2.0
Catarsi power boats,42480.0,1.0
ERC power boats,28026.0,1.0
Loon power boats,314280.0,2.0
Helstede power boats,43092.0,1.0
Valiant power boats,209000.0,1.0
Hoekstra power boats,18290.0,1.0
Tornado power boats,831900.0,8.0
Ibiza Boats power boats,64692.0,1.0
Tegernseer Bootsbau power boats,68440.0,1.0
Primatist power boats,215940.0,2.0
Bluewater Yachts power boats,16146.0,1.0
Majoni power boats,310340.0,2.0
Four Winns power boats,4059122.0,42.0
Bimax power boats,56640.0,2.0
Marino Costruzioni Nautiche power boats,15340.0,1.0
Leidi power boats,49560.0,1.0
San Remo power boats,111510.0,2.0
Mirakul power boats,768770.0,3.0
F√?llemann power boats,35348.4,1.0
Aquastar power boats,322470.0,3.0
Navalplastica power boats,17700.0,1.0
Vacance power boats,461970.0,3.0
Bazzerla power boats,46610.0,1.0
Celebrity power boats,21122.0,1.0
Seaway power boats,1466150.0,4.0
Viko power boats,43306.0,2.0
Neptunus Yachts power boats,188682.0,1.0
Thoma power boats,147700.8,6.0
Cranchi power boats,6.2700236E7,181.0
IMP Boats power boats,29382.0,1.0
Burger power boats,495600.0,1.0
Italmarine power boats,13824.0,2.0
Marquis power boats,1156400.0,3.0
Mingolla power boats,38114.0,2.0
Windy power boats,8116424.5,54.0
Gavazzi Luciano power boats,69620.0,1.0
Bering Yachts power boats,2714000.0,1.0
ACM Dufour power boats,880460.0,9.0
Aluminiumjon power boats,40710.0,1.0
Sessa power boats,3.3541894E7,105.0
GioMare power boats,19942.0,1.0
Grandezza power boats,807993.2,4.0
Sagemar power boats,440140.0,3.0
Fartes power boats,126260.0,1.0
Sarnico power boats,1189440.0,5.0
Hensa  power boats,4104.0,1.0
Mochi Craft power boats,1.3022191E7,19.0
BLULINE (IT) power boats,12154.0,1.0
Nasbo power boats,124956.0,1.0
Slepsk power boats,35400.0,1.0
Alfastreet Marine power boats,581319.94,6.0
Best power boats,152220.0,1.0
Searider power boats,28202.0,1.0
Nordson power boats,15930.0,1.0
Gibert Marine power boats,75520.0,2.0
de Ruiter power boats,152102.0,2.0
Hustler power boats,265488.2,2.0
