Country,Sum of GDP_Per_Capita,Sum of TotalSalesPerCountry
Switzerland,85584.56,103039520
Ireland,82058.03,766999
United States,67063.27,3985922
Australia,58096.73,10189995
Sweden,57105.15,6375802
Netherlands,55730.27,227239264
Austria,53481.76,14079306
Finland,52203.14,5661581
Germany,49617.15,160189472
United Kingdom,43117.57,80480680
Malta,37002.06,24245400
Spain,32019.83,277862368
Slovenia,28001.32,11265731
Estonia,25053.99,1062508.6
Portugal,24509.08,37803212
Greece,22114.44,78311376
Lithuania,21159.4,236000
Latvia,20200.42,1616600
Seychelles,17682.29,447220
Poland,16996.87,4127065.2
Croatia,15733.45,115522
Romania,13677.99,69030
Bulgaria,10325.48,3068000
Turkey,9598.81,39172872
Lebanon,8881.47,377600
Thailand,7842.85,2377700
Morocco,3496.45,442500
