Year_Built,TotalSales
2017,1.19918632E8
2018,1.1336248E8
2019,1.69894656E8
2020,2.95592096E8
2021,1.1147186E7
1901,105020.0
1910,518020.0
1911,206500.0
1912,53100.0
1913,14750.0
1922,211810.0
1923,58410.0
1930,182900.0
1933,68440.0
1940,11800.0
1946,96660.0
1951,25370.0
1954,35400.0
1956,147540.0
1957,164610.0
1958,407720.0
1959,269746.75
1961,762832.0
1962,264960.0
1963,163100.0
1964,4234090.0
1965,798770.2
1966,388220.0
1967,817952.0
1968,643810.0
1969,584662.0
1970,488284.0
1971,413204.0
1972,1260518.6
1973,961213.5
1974,905429.0
1975,692685.0
1976,2224560.0
1977,1425182.4
1978,2008279.0
1979,1616394.6
1980,1848378.5
1981,1635743.6
1982,762814.3
1983,1766758.4
1984,1710693.2
1985,2129399.8
1986,2124122.2
1987,2477468.2
1988,7542150.5
1989,6503343.0
1990,6674131.0
1991,1.5193251E7
1992,9757317.0
1993,6427088.0
1994,1.1493761E7
1995,1.1318208E7
1996,1.2702058E7
1997,1.1971138E7
1998,1.2237774E7
1999,1.8092348E7
2000,3.5108348E7
2001,2.9036384E7
2002,3.4358312E7
2003,4.1198268E7
2004,5.1889108E7
2005,6.0431408E7
2006,8.00984E7
2007,1.25027448E8
2008,1.58166224E8
2009,9.0888192E7
2010,9.4295544E7
2011,7.4208328E7
2012,7.9734432E7
2013,1.09716816E8
2014,7.0664792E7
2015,7.3530512E7
2016,1.0806976E8
