Country,TotalSalesPerCountry,UnitSold,GDP_Per_Capita
Spain,277862368.0,528,32019.83
Turkey,39172872.0,43,9598.81
Lebanon,377600.0,1,8881.47
Finland,5661581.0,22,52203.14
Germany,160189472.0,1221,49617.15
Netherlands,227239264.0,482,55730.27
Thailand,2377700.0,2,7842.85
Portugal,37803212.0,116,24509.08
Greece,78311376.0,66,22114.44
Bulgaria,3068000.0,2,10325.48
Seychelles,447220.0,1,17682.29
United Kingdom,80480680.0,140,43117.57
Switzerland,103039520.0,899,85584.56
Estonia,1062508.6,4,25053.99
Australia,10189995.0,2,58096.73
United States,3985922.0,4,67063.27
Morocco,442500.0,1,3496.45
Latvia,1616600.0,2,20200.42
Sweden,6375802.0,13,57105.15
Poland,4127065.2,23,16996.87
Croatia,115522.0,1,15733.45
Romania,69030.0,1,13677.99
Malta,24245400.0,31,37002.06
Ireland,766999.0,1,82058.03
Austria,14079306.0,71,53481.76
Slovenia,11265731.0,32,28001.32
Lithuania,236000.0,1,21159.4
